BOSS (v. 1 alt.),O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEO{iitd∅/td12--1iii=2iii=3iii=4iiiO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFFO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFF
BOSSY,O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEO{iitd∅/td12--1iii=2iii=3iii=4iiiO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFFO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFFL{EE--∅/------1FFE=2FFE=3FFE<4EEE
BOTH (v. 1),O{iifrd∅/bd--3-1EEE{2EEE<3iii=4iiiO{iifrd∅/bd--3-1EEE=2EEE<3iii=4iii
CARVE,L{EE--∅/------1FFF=2FFF=3FFF=4FFFL{EE--∅/------1EEE=2EEE=3EEE=4EEE
CASTLE (alt.),O{EE--∅/------1Eii=2Eii=3Eii=4EiiU=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFFO=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFFL{EE--∅/------1EEE<2FFF=3FFF=4FFFO<Fibd∅/td123-1iFF=2iFF=3iFF=4iFF
CATCH (v.1),L{EE--∅/------1Eii{2Eii{3Eii{4EiiO{EE--∅/------1Eii{2Eii{3Eii{4Eii
CATCH (v.3),O{EE--∅/------1Eii{2Eii{3Eii{4EiiO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFF
CATCH (v.4),O{EE--∅/------1Eii{2Eii{3Eii{4EiiO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFF
CATERPILLAR,U<EE--∅/------1iEE=2iEE=3iEE=4iEEO=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFFO=iifrd∅/bm-2--1EFi<2FFF=3FFF=4FFF
CAUSE (v.1),O=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFFL{EE--∅/------1EEE{2EEE{3EEE{4EEE
