ADMIRE (v.1)	O{EE--∅/------1EEE{2FEE<3iEE{4EEEO{iifrd∅/frd-2--1EEE{2iiE<3iEE{4EEE
ADMIRE (v.2)	O{iifrd∅/bd--3-1EEE{2EEE<3iii=4iii
ADMIT (v.1)	L{EE--∅/------1EEE=2EEE=3EEE=4EEE
ADMIT (v.2)	L{EE--∅/------1EEE=2EEE=3EEE=4EEE
ADOPT (v.1)	O{EE--∅/------1Eii{2Eii{3Eii{4EiiO=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFF
ADOPT (v.2)	O{EE--∅/------1iEE{2iEE{3iEE{4iEEO{EEfrd∅/frd12--1FEE=2FEE=3FEE=4FEE
ADULT (v.1)	L{EE--∅/------1FEE=2FEE=3FEE=4FEE
ADVANTAGE	O{iitd∅/td1---1iii{2iEE{3EEE{4EEE
ADVERTISE	O=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFF
AFTER (v.1)	L{EE--∅/------1EEE=2EEE=3EEE=4EEEU<EE--∅/------1iEE=2iEE=3iEE=4iEE
AFTER (v.2)	U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFF
AFTER (v.3)	L{EE--∅/------1EEE=2EEE=3EEE=4EEEL{EE--∅/------1EEE=2EEE=3EEE=4EEEL{EE--∅/------1FEE=2FEE=3FEE=4FEE
AFTER (v.4)	U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFF
ADOPT (alt.)	U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO{iitd∅/td-2--1EEE<2iii=3FFF=4FFFO=EEfrd∅/rp-2--1EEE<2FEE=3FFE=4FFEO=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFFO{iitd∅/td12--1iii=2iii=3iii=4iii
ADULT (alt.)	U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO{iitd∅/td-2--1EEE<2iii=3FFF=4FFFO{iifrd∅/bd--3-1EEE=2EEE<3iii=4iiiL{EE--∅/------1EEE<2FFF=3FFF=4FFFO=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFF
BACK (v. 1)	L{EE--∅/------1EEE=2EEE=3EEE=4EEE
BACK (v. 1 alt.)	O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEU=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO{EE--∅/------1Eii=2Eii=3Eii=4EiiO=EEfrd∅/rp-2--1EEE<2FEE=3FFE=4FFE
BACK (v. 3)	O=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFF
BACK_UP	L{EE--∅/------1EEE{2EEE<3FFE=4FFE
BACKUP	L{EE--∅/------1FFF=2FFF=3FFF=4FFF
BAR (v. 1)	L{EE--∅/------1FFE=2FFE=3FFE<4EEE
BAR (v. 2)	L{EE--∅/------1EEE=2EEE=3EEE=4EEE
BARELY (v. 1)	O{iitd∅/td1---1iii{2iEE{3EEE{4EEE
BARELY (v. 2)	O=EEtd∅/td1---1EFi<2FFF=3FFF=4FFFU=EEfrd∅/rm1---1iFi=2FFF=3FFF=4FFF
BARK (v. 1)	L{EE--∅/------1FEE=2FEE=3FEE=4FEEL{EE--∅/------1EEE=2EEE=3EEE=4EEE
BARK (v. 2)	L{EE--∅/------1EEE{2EEE{3EEE{4EEEL{EE--∅/------1Eii=2Eii=3Eii=4Eii
BASEBALL	O=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFF
BASEMENT (v. 1)	O=iifrd∅/bm-2--1FEE=2FFF=3FFF=4FFF
BASEMENT (v. 2)	L{EE--∅/------1FFF=2FFF=3FFF=4FFFU<EE--∅/------1iEE=2iEE=3iEE=4iEE
BASIC	U<EE--∅/------1iEE=2iEE=3iEE=4iEEL{EE--∅/------1EEE=2EEE=3EEE=4EEE
BASKET	O{EE--∅/------1Eii=2Eii=3Eii=4Eii
(WASTE) BASKET	U<EE--∅/------1iEE=2iEE=3iEE=4iEEO=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
AFTERNOON (v.1)	L{EE--∅/------1EEE=2EEE=3EEE=4EEE
AFTERNOON (v.2)	O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEE
AGAIN	L{EE--∅/------1FEE=2FEE=3FEE=4FEEL{EE--∅/------1EEE=2EEE=3EEE=4EEE
AGAINST	L{EE--∅/------1EEE=2EEE=3EEE=4EEEL{EE--∅/------1FEE=2FEE=3FEE=4FEE
AGE (v.1)	O=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFFO=iifrd∅/bm-2--1fff=2fff=3fff=4fff
AGE (v.2)	L{EE--∅/------1FEE=2FEE=3FEE=4FEE
AGENCY	U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFU=EEfrp∅/rp1---1FEE=2FFF=3FFF=4FFFO<Fibd∅/td123-1iFF=2iFF=3iFF=4iFFO=iifrd∅/rp--3-1Fii=2Fii<3FFE=4FFEO{EE--∅/------1Eii=2Eii=3Eii=4EiiL{EE--∅/------1FFE=2FFE=3FFE<4EEE
AGREE	O=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
AIRPLANE	L{EE--∅/------1EEE<2FFE=3FFE=4EEE
ALARM	O=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFFL{EE--∅/------1EEE=2EEE=3EEE=4EEE
BASKETBALL (v. 1)	L{EE--∅/------1Eii{2Eii{3Eii{4Eii
BASKETBALL (v. 2)	L{EE--∅/------1EEE=2EEE=3EEE=4EEE
BAT (v. 1)	O=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFFO=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
BAT (v. 1 alt.)	O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEU=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFF
BAT (v. 2)	O=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFF
BATH	L{EE--∅/------1FFF=2FFF=3FFF=4FFF
BATHROOM (v. 1)	U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFF
BATHROOM (v. 2)	O=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFF
BATHROOM (v. 3)	L{EE--∅/------1EEE=2EEE=3EEE=4EEE
BATHTUB	L{EE--∅/------1FFF=2FFF=3FFF=4FFFO=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFFO{iifrd∅/bd--3-1EEE=2EEE<3iii=4iiiO=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEE
DOLLAR (v. 1)	O{EE--∅/------1Eii=2Eii=3Eii=4EiiL{EE--∅/------1EEE=2EEE=3EEE=4EEE
1_DOLLAR	O=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
DOLLAR (v. 2)	O{EE--∅/------1FEE=2FEE=3FEE=4FEEO{EEfrd∅/frd12--1FEE=2FEE=3FEE=4FEEL{EE--∅/------1EEE=2EEE=3EEE=4EEE
ALCOHOL	O=iifrd∅/bm-2--1EEE<2FFE=3FFE=4EEE
ALL (v.1)	L{EE--∅/------1EEE=2EEE=3EEE=4EEE
ALL (v.2)	U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFL{EE--∅/------1EEE<2FFF=3FFF=4FFF
(ALL) OVER	L{EE--∅/------1EEE{2EEE{3EEE{4EEE
ALONE	O=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
ALPHABET (v.1)	U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEO{EE--∅/------1Eii=2Eii=3Eii=4EiiL{EE--∅/------1FEE{2FEE{3FEE{4FEE
ALPHABET (v.2)	U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFL{EE--∅/------1EEE<2FFF=3FFF=4FFFO=EEfrd∅/rp-2--1EEE<2FEE=3FFE=4FFEO{iifrd∅/bd--3-1EEE=2EEE<3iii=4iiiO=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEO<Fibd∅/td123-1iFF=2iFF=3iFF=4iFFO=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFFU=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFF
ALWAYS	O=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
ANALYZE	O{iifrd∅/bd--3-1EEE{2EEE<3iii=4iiiO{iifrd∅/bd--3-1EFi{2EFi<3iii=4iii
AND	O{EE--∅/------1iEE{2iEE{3iEE{4iEEO{EEfrd∅/frd12--1FEE=2FEE=3FEE=4FEE
BATTERY (v. 1)	O=iifrd∅/bm-2--1EFi<2FFF=3FFF=4FFF
BATTERY (v. 1 alt.)	O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEU=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFFO=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFFO<Fibd∅/td123-1iFF=2iFF=3iFF=4iFFO=iifrd∅/bm--3-1EEEx2Eii<3FFE=4FFEL{EE--∅/------1FFE=2FFE=3FFE<4EEE
BATTERY (v. 2)	O=iifrd∅/bm-2--1FFF=2FFF=3FFF=4FFF
BEACH	O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEO<Fibd∅/td123-1iFF=2iFF=3iFF=4iFFU=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO{EE--∅/------1Eii=2Eii=3Eii=4EiiO{iifrd∅/bd--3-1EEE=2EEE<3iii=4iii
BEAK	O{EE--∅/------1FEE=2FFF=3FFF=4FFFO{EEfrd∅/frd1---1FEE=2FFF=3FFF=4FFF
BEAN	O=iifrd∅/frM--3-1EEE=2EEE=3EEE=4EEEO<Fibd∅/td123-1iFF=2iFF=3iFF=4iFFU=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO=iifrd∅/rp--3-1Fii=2Fii<3FFE=4FFE
